verbose,total_opt_steps,N_epoch,N_E_traj,add_history,learning_rate,results_path,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,RL_expert_exp_id,H_dims,FORWARD,N_ALICE_traj,kill_feats,density_ratio_feature_map,adversary_feature_map,learning_rate_BC,entropy_coeff,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,render_final,switch_2_E_after,random_demos,RL_expert_load_best,RL_expert_algo,T_max_all,T_max,model_reg_coeff,partial_obs,recent_samp_priority_exp,horizon_weight_offset_exp,pair_with_E,drop_first,adversary_t_bucket_size,recompute_adversary_freq,density_ratio_alpha,train_r_mean,train_r_std,test_r_mean,test_r_std,loss_function,alg,env_id,N_E_samp,epoch_losses,best_epoch_ind,w_max,w_min,final,iteration_num,horizon,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime,best_ind,JS_div,hindsight_loss_train
0,2000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC,HalfCheetah-v2_1,25000,"[0.2106468416962633, 0.12896578, 0.10326702, 0.088655196, 0.07624184, 0.07498372, 0.07035637, 0.061635863, 0.060065612, 0.06039473]",8,1.0,1.0,False,0,1000,24999.999999999996,1038.2456669906535,2263.366331138914,0.0866689458489418,0.056468475610017776,0.0866689458489418,6.139627905686696,0,25.89439651457122,0.056468475610017776
0,4000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC,HalfCheetah-v2_1,25000,"[0.0621135200814344, 0.05254059, 0.048706092, 0.046499357, 0.04782277, 0.04416978, 0.04523805, 0.04211562, 0.048267197, 0.03899874]",9,1.0,1.0,False,1,1000,24999.999999999996,1770.9252738257837,3118.4443251333973,0.08535706251859665,0.05133539065718651,0.08535706251859665,12.381045599778494,1,23.049110010871484,0.05133539065718651
0,6000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC,HalfCheetah-v2_1,25000,"[0.040636341189264784, 0.040882614, 0.042318877, 0.03710604, 0.04094442, 0.034889724, 0.035662286, 0.03968837, 0.038976744, 0.035248738]",5,1.0,1.0,False,2,1000,24999.999999999996,1882.8914287528373,2655.578093262937,0.0728142186999321,0.037251368165016174,0.0728142186999321,18.647909808158875,2,22.16517058122282,0.037251368165016174
0,8000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC,HalfCheetah-v2_1,25000,"[0.04056655625871266, 0.037767813, 0.031906895, 0.037421975, 0.033228837, 0.04010935, 0.03751585, 0.032817047, 0.0348029, 0.030698745]",9,1.0,1.0,False,3,1000,24999.999999999996,3225.7541564968938,2981.1615851783954,0.06722868978977203,0.029762346297502518,0.06722868978977203,24.636122997601827,3,20.454160848131668,0.029762346297502518
0,10000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC,HalfCheetah-v2_1,25000,"[0.03408034223544644, 0.03633312, 0.03345701, 0.032736298, 0.0320131, 0.033689614, 0.030003265, 0.031684663, 0.029434612, 0.02912943]",9,1.0,1.0,False,4,1000,24999.999999999996,2531.2782688643206,2922.8033286784116,0.07163476198911667,0.034233711659908295,0.07163476198911667,31.540913649400075,4,19.45033081052244,0.034233711659908295
0,12000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC,HalfCheetah-v2_1,25000,"[0.029611308531246612, 0.028308118, 0.029655734, 0.024837652, 0.028592326, 0.027467579, 0.025509113, 0.024550373, 0.034012217, 0.027121728]",7,1.0,1.0,False,5,1000,24999.999999999996,2381.6490888687126,1987.8129680233237,0.06617829203605652,0.028515079990029335,0.06617829203605652,38.29508924484253,5,19.06901046259431,0.028515079990029335
0,14000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC,HalfCheetah-v2_1,25000,"[0.037878601695365506, 0.033907145, 0.030875187, 0.023731597, 0.026093874, 0.033790626, 0.025570527, 0.02772706, 0.032757744, 0.024202552]",3,1.0,1.0,False,6,1000,24999.999999999996,4972.102144288636,2688.676926507841,0.06263433396816254,0.023738764226436615,0.06263433396816254,45.44152191082637,6,17.598734187139424,0.023738764226436615
0,16000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC,HalfCheetah-v2_1,25000,"[0.025894122914545587, 0.033171494, 0.022197258, 0.024824085, 0.024672436, 0.028440783, 0.029307945, 0.023609074, 0.024070825, 0.023980279]",2,1.0,1.0,False,7,1000,24999.999999999996,3093.3592551886895,2693.8947217168807,0.06331413984298706,0.022984923794865608,0.06331413984298706,52.51576835711797,7,17.06549988556382,0.022984923794865608
0,18000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC,HalfCheetah-v2_1,25000,"[0.024273238922131714, 0.028268987, 0.047653094, 0.040926438, 0.022004273, 0.030080026, 0.026782028, 0.023703938, 0.02218925, 0.024141284]",4,1.0,1.0,False,8,1000,24999.999999999996,4582.475023339874,3128.200180779496,0.06437388062477112,0.024133291095495224,0.06437388062477112,59.767293957869214,8,16.214050671377706,0.024133291095495224
0,20000000,10,25,False,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC,HalfCheetah-v2_1,25000,"[0.022904699317343766, 0.028350675, 0.021669568, 0.022187935, 0.020601748, 0.025970327, 0.022242099, 0.02407235, 0.040337935, 0.025784155]",4,1.0,1.0,True,9,1000,24999.999999999996,1907.0442775901722,2296.544031449178,0.06558044254779816,0.024194084107875824,0.06558044254779816,65.31832818984985,9,16.214050671377706,0.024194084107875824
0,2000000,10,25,True,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC+H,HalfCheetah-v2_1,25000,"[0.1766597882851679, 0.122696094, 0.10443797, 0.09075271, 0.079489686, 0.073006086, 0.06754582, 0.063030526, 0.06327594, 0.0601845]",9,1.0,1.0,False,0,1000,24999.999999999996,-219.0250117015099,306.2932988449837,0.09898422658443451,0.07049009948968887,0.09898422658443451,3.862890334924062,0,57.375715255737305,0.07049009948968887
0,4000000,10,25,True,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC+H,HalfCheetah-v2_1,25000,"[0.05479886595286429, 0.05341885, 0.04969762, 0.047274053, 0.044818804, 0.04582691, 0.044445947, 0.039453838, 0.049228363, 0.039518993]",7,1.0,1.0,False,1,1000,24999.999999999996,1074.6243496170873,2081.357950618106,0.07147673517465591,0.03812903165817261,0.07147673517465591,8.226179206371308,1,33.55694389343262,0.03812903165817261
0,6000000,10,25,True,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC+H,HalfCheetah-v2_1,25000,"[0.03710566815427737, 0.038098346, 0.044062357, 0.043737248, 0.036148783, 0.034159847, 0.040268302, 0.043344628, 0.03401904, 0.033712223]",9,1.0,1.0,False,2,1000,24999.999999999996,1505.5233290265417,2780.8756450587957,0.06944484263658524,0.03357157111167908,0.06944484263658524,12.362899621327719,2,29.326147094368935,0.03357157111167908
0,8000000,10,25,True,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC+H,HalfCheetah-v2_1,25000,"[0.03378979428650578, 0.04090699, 0.032616936, 0.03605168, 0.03730191, 0.034289747, 0.036516156, 0.033298682, 0.030140596, 0.031484157]",8,1.0,1.0,False,3,1000,24999.999999999996,457.7501664637591,1289.0171924488577,0.06507542729377747,0.02944258786737919,0.06507542729377747,16.346727657318116,3,31.690322875976562,0.02944258786737919
0,10000000,10,25,True,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC+H,HalfCheetah-v2_1,25000,"[0.029201600481350905, 0.029012492, 0.031023081, 0.029092053, 0.026919521, 0.029336799, 0.030548362, 0.029332915, 0.027783133, 0.03191446]",4,1.0,1.0,False,4,1000,24999.999999999996,964.4437977525823,1717.7655565385958,0.0766887366771698,0.039015088230371475,0.0766887366771698,20.396077040831248,4,31.479612335562706,0.039015088230371475
0,12000000,10,25,True,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC+H,HalfCheetah-v2_1,25000,"[0.02741654967300128, 0.027021213, 0.027015409, 0.030554207, 0.03497652, 0.03761648, 0.025317617, 0.03218092, 0.026913293, 0.029535294]",6,1.0,1.0,False,5,1000,24999.999999999996,620.8003189907606,1527.9015198432066,0.07262519747018814,0.034020956605672836,0.07262519747018814,24.48460992972056,5,30.96342372149229,0.034020956605672836
0,14000000,10,25,True,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC+H,HalfCheetah-v2_1,25000,"[0.033979311031473336, 0.035565753, 0.03112067, 0.024139358, 0.023074104, 0.028669521, 0.025662787, 0.022649804, 0.029042866, 0.023831422]",7,1.0,1.0,False,6,1000,24999.999999999996,585.4952703807321,2222.5635886670384,0.06383495032787323,0.02430962212383747,0.06383495032787323,28.609014058113097,6,30.7142810896039,0.02430962212383747
0,16000000,10,25,True,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC+H,HalfCheetah-v2_1,25000,"[0.026469268905466307, 0.02456232, 0.026644085, 0.022817727, 0.02143919, 0.02769503, 0.027927347, 0.02548922, 0.021574678, 0.03298517]",4,1.0,1.0,False,7,1000,24999.999999999996,-292.6935225766929,618.1223759343794,0.07281029969453812,0.03453364595770836,0.07281029969453812,33.10576815207799,7,31.996139526367188,0.03453364595770836
0,18000000,10,25,True,0.003,results_jan2021/results-HalfCheetah-v2--BC.csv,10,0,0,False,my_RL_experts,1,"(512, 128, 32)",False,25,,,,0.003,0,50,50,128,False,True,,,False,False,,False,True,,,,,False,1,,False,0,,1,1,10548.291660205778,96.82547363275783,10539.370505079907,103.07652603882909,mse,BC+H,HalfCheetah-v2_1,25000,"[0.0294557961803698, 0.026914744, 0.028835848, 0.02989955, 0.020934433, 0.021039797, 0.043984722, 0.023339443, 0.021039361, 0.020068597]",9,1.0,1.0,False,8,1000,24999.999999999996,661.963567343107,1580.6783604076659,0.06410547345876694,0.022951927036046982,0.06410547345876694,38.551239705085756,8,31.987382888793945,0.022951927036046982
